,filename,beginposition,relativeorbitnumber,cloudcoverpercentage,orbitdirection,tileid,tileid_acquisitiondate,month,day_of_year,year
77fcbfd5-24b9-4d92-8db7-166f999b9150,S2A_MSIL2A_20220729T104631_N0400_R051_T31UDP_20220729T184305.SAFE,2022-07-29 10:46:31.024,51,16.820714,DESCENDING,T31UDP,T31UDP_20220729T104631,07,210,2022
b1ee7fd3-f645-444a-9604-46df67566ba6,S2B_MSIL2A_20220724T104629_N0400_R051_T31UDP_20220724T123114.SAFE,2022-07-24 10:46:29.024,51,3.627709,ASCENDING,T31UDP,T31UDP_20220724T104629,07,205,2022
c42197b5-7838-4a20-8330-607b3eab2994,S2A_MSIL2A_20220719T105041_N0400_R051_T31UDP_20220719T170208.SAFE,2022-07-19 10:50:41.025,51,0.002057,DESCENDING,T31UDP,T31UDP_20220719T105041,07,200,2022
ab1a40fe-235c-4c62-aec1-25c5a75d4db6,S2B_MSIL2A_20220714T104629_N0400_R051_T31UDP_20220714T134329.SAFE,2022-07-14 10:46:29.024,51,84.465003,DESCENDING,T31UDP,T31UDP_20220714T104629,07,195,2022
ed3fd991-70fe-40e4-8949-59a6b49b9563,S2B_MSIL2A_20220704T104629_N0400_R051_T31UDP_20220704T123505.SAFE,2022-07-04 10:46:29.024,51,14.674164,ASCENDING,T31UDP,T31UDP_20220704T104629,07,185,2022
4d5e48b6-838f-4330-9294-64e0ddb0109d,S2A_MSIL2A_20220629T104631_N0400_R051_T31UDP_20220629T170417.SAFE,2022-06-29 10:46:31.024,51,21.459863,ASCENDING,T31UDP,T31UDP_20220629T104631,06,180,2022
ab770a05-62b8-4757-a0e4-047621ee4361,S2B_MSIL2A_20220624T104629_N0400_R051_T31UDP_20220624T122953.SAFE,2022-06-24 10:46:29.024,51,93.437195,ASCENDING,T31UDP,T31UDP_20220624T104629,06,175,2022
24c5460e-5c1d-460a-857f-63d73d28aed4,S2A_MSIL2A_20220619T104631_N0400_R051_T31UDP_20220619T173719.SAFE,2022-06-19 10:46:31.024,51,2.8893400000000002,ASCENDING,T31UDP,T31UDP_20220619T104631,06,170,2022
bb731eb0-cd00-4064-8b91-41694a4e015a,S2B_MSIL2A_20220614T104629_N0400_R051_T31UDP_20220614T141011.SAFE,2022-06-14 10:46:29.024,51,78.14787,ASCENDING,T31UDP,T31UDP_20220614T104629,06,165,2022
d35b7a4d-adb6-4bf6-8b93-e28847851591,S2A_MSIL2A_20220609T104631_N0400_R051_T31UDP_20220609T171618.SAFE,2022-06-09 10:46:31.024,51,92.040598,ASCENDING,T31UDP,T31UDP_20220609T104631,06,160,2022
