,filename,beginposition,relativeorbitnumber,cloudcoverpercentage,orbitdirection,tileid,tileid_acquisitiondate,month,day_of_year,year
de15dbd0-5deb-441a-873c-e1ae940d4404,S2B_MSIL2A_20210106T111349_N0214_R137_T30UXC_20210106T140505.SAFE,2021-01-06 11:13:49.024,137,75.818434,DESCENDING,T30UXC,T30UXC_20210106T111349,01,006,2021
eb049aed-3b0b-470a-af68-8f341a96faac,S2A_MSIL2A_20210104T112451_N0214_R037_T30UXC_20210104T141015.SAFE,2021-01-04 11:24:51.024,37,80.413304,DESCENDING,T30UXC,T30UXC_20210104T112451,01,004,2021
f9a3dfab-b692-4f06-97c9-11b95732026a,S2A_MSIL2A_20210101T111451_N0214_R137_T30UXC_20210101T140201.SAFE,2021-01-01 11:14:51.024,137,90.290759,DESCENDING,T30UXC,T30UXC_20210101T111451,01,001,2021
03f01f16-7dd7-4167-aef9-27dbb89b19f6,S2B_MSIL2A_20201230T112359_N0214_R037_T30UXC_20201230T132319.SAFE,2020-12-30 11:23:59.024,37,80.683476,DESCENDING,T30UXC,T30UXC_20201230T112359,12,365,2020
91049ec5-5a9b-4022-8372-82ae4ce882eb,S2B_MSIL2A_20201227T111359_N0214_R137_T30UXC_20201227T131730.SAFE,2020-12-27 11:13:59.024,137,1.7585769999999998,DESCENDING,T30UXC,T30UXC_20201227T111359,12,362,2020
55e5e038-2a6c-4afb-b23d-b2e3df5b8867,S2A_MSIL2A_20201222T111501_N0214_R137_T30UXC_20201222T140127.SAFE,2020-12-22 11:15:01.024,137,99.999338,DESCENDING,T30UXC,T30UXC_20201222T111501,12,357,2020
543392de-4b55-4a2a-b18f-047da2a7c295,S2B_MSIL2A_20201220T112359_N0214_R037_T30UXC_20201220T132403.SAFE,2020-12-20 11:23:59.024,37,27.354857999999997,DESCENDING,T30UXC,T30UXC_20201220T112359,12,355,2020
784c1273-5941-49d6-8cc8-3aa0737ee8e7,S2B_MSIL2A_20201217T111359_N0214_R137_T30UXC_20201217T135153.SAFE,2020-12-17 11:13:59.024,137,0.20099599999999998,DESCENDING,T30UXC,T30UXC_20201217T111359,12,352,2020
4ada7018-4a44-4c1a-aa68-218c83396fa5,S2A_MSIL2A_20201215T112451_N0214_R037_T30UXC_20201215T140842.SAFE,2020-12-15 11:24:51.024,37,1.018927,DESCENDING,T30UXC,T30UXC_20201215T112451,12,350,2020
e599fdf4-b54c-4ac2-b376-8f0d9fde4a0c,S2A_MSIL2A_20201212T111451_N0214_R137_T30UXC_20201212T140141.SAFE,2020-12-12 11:14:51.024,137,81.193467,DESCENDING,T30UXC,T30UXC_20201212T111451,12,347,2020
0c6b6b7a-a5e3-450e-93cc-7317be23b43a,S2B_MSIL2A_20201210T112449_N0214_R037_T30UXC_20201210T132546.SAFE,2020-12-10 11:24:49.024,37,92.104067,DESCENDING,T30UXC,T30UXC_20201210T112449,12,345,2020
17780960-5273-463f-abdc-23807dcc0a90,S2B_MSIL2A_20201207T111439_N0214_R137_T30UXC_20201207T124200.SAFE,2020-12-07 11:14:39.024,137,93.844684,DESCENDING,T30UXC,T30UXC_20201207T111439,12,342,2020
c4adfb9f-acad-4bdf-ac2a-2ea79cad500e,S2A_MSIL2A_20201205T112441_N0214_R037_T30UXC_20201205T141448.SAFE,2020-12-05 11:24:41.024,37,23.463804,DESCENDING,T30UXC,T30UXC_20201205T112441,12,340,2020
a097bce2-f763-426c-b149-49f851883efc,S2A_MSIL2A_20201202T111431_N0214_R137_T30UXC_20201202T140104.SAFE,2020-12-02 11:14:31.024,137,99.70604099999998,DESCENDING,T30UXC,T30UXC_20201202T111431,12,337,2020
f04e8099-68c6-4593-bc69-6f48487f6df3,S2B_MSIL2A_20201130T112429_N0214_R037_T30UXC_20201130T131854.SAFE,2020-11-30 11:24:29.024,37,99.999822,DESCENDING,T30UXC,T30UXC_20201130T112429,11,335,2020
552562e3-2100-4893-932f-416d3a1ef4c2,S2B_MSIL2A_20201127T111419_N0214_R137_T30UXC_20201127T131750.SAFE,2020-11-27 11:14:19.024,137,66.71263,DESCENDING,T30UXC,T30UXC_20201127T111419,11,332,2020
d80298da-3aee-422b-b91a-30d5c29335b2,S2A_MSIL2A_20201125T112411_N0214_R037_T30UXC_20201126T163935.SAFE,2020-11-25 11:24:11.024,37,87.72816,DESCENDING,T30UXC,T30UXC_20201125T112411,11,330,2020
339bd829-52a4-4ea1-bd7a-31ed099267cb,S2A_MSIL2A_20201122T111401_N0214_R137_T30UXC_20201122T140015.SAFE,2020-11-22 11:14:01.024,137,78.379093,DESCENDING,T30UXC,T30UXC_20201122T111401,11,327,2020
4c43d610-0ab3-49aa-a946-01ef5d91c89b,S2B_MSIL2A_20201120T112359_N0214_R037_T30UXC_20201120T132313.SAFE,2020-11-20 11:23:59.024,37,99.824897,DESCENDING,T30UXC,T30UXC_20201120T112359,11,325,2020
fdec7b91-ac49-4c8e-b39a-e1bb24804680,S2B_MSIL2A_20201117T111339_N0214_R137_T30UXC_20201117T131201.SAFE,2020-11-17 11:13:39.024,137,97.71567,DESCENDING,T30UXC,T30UXC_20201117T111339,11,322,2020
ff4353e7-1fda-49ad-97f0-fedc07531856,S2A_MSIL2A_20201115T112341_N0214_R037_T30UXC_20201115T141031.SAFE,2020-11-15 11:23:41.024,37,11.413374,DESCENDING,T30UXC,T30UXC_20201115T112341,11,320,2020
37f4c5b9-ed67-4dad-a0f4-35666597f74a,S2A_MSIL2A_20201112T111321_N0214_R137_T30UXC_20201112T140403.SAFE,2020-11-12 11:13:21.024,137,74.449745,DESCENDING,T30UXC,T30UXC_20201112T111321,11,317,2020
07464776-288e-4343-a9d9-fcceff0f1576,S2B_MSIL2A_20201110T112309_N0214_R037_T30UXC_20201110T132222.SAFE,2020-11-10 11:23:09.024,37,79.768441,DESCENDING,T30UXC,T30UXC_20201110T112309,11,315,2020
e5ba0d5f-6f9c-43a8-99f6-b9ed5faa2ff0,S2B_MSIL2A_20201107T111249_N0214_R137_T30UXC_20201107T130143.SAFE,2020-11-07 11:12:49.024,137,14.852207,DESCENDING,T30UXC,T30UXC_20201107T111249,11,312,2020
66319751-dc0e-4b41-9a60-e0bfe4f78ac9,S2A_MSIL2A_20201105T112251_N0214_R037_T30UXC_20201105T140902.SAFE,2020-11-05 11:22:51.024,37,39.177371,DESCENDING,T30UXC,T30UXC_20201105T112251,11,310,2020
d327bc92-718f-4096-a3be-7192ab620da1,S2A_MSIL2A_20201102T111231_N0214_R137_T30UXC_20201102T140133.SAFE,2020-11-02 11:12:31.024,137,24.407628,DESCENDING,T30UXC,T30UXC_20201102T111231,11,307,2020
d5b91a09-6970-4fb6-83dd-cc75762f1506,S2B_MSIL2A_20201031T112219_N0214_R037_T30UXC_20201031T130400.SAFE,2020-10-31 11:22:19.024,37,90.599978,DESCENDING,T30UXC,T30UXC_20201031T112219,10,305,2020
bfa9ca13-38e9-4201-b1bb-f1b205cb6943,S2B_MSIL2A_20201028T111159_N0214_R137_T30UXC_20201028T132511.SAFE,2020-10-28 11:11:59.024,137,68.240587,DESCENDING,T30UXC,T30UXC_20201028T111159,10,302,2020
8d6af050-aee6-4e39-905c-e188781cdcb1,S2A_MSIL2A_20201026T112151_N0214_R037_T30UXC_20201027T144218.SAFE,2020-10-26 11:21:51.024,37,94.126619,DESCENDING,T30UXC,T30UXC_20201026T112151,10,300,2020
1f968010-81ca-4797-8e1c-251399d9537a,S2A_MSIL2A_20180815T110651_N0213_R137_T30UXC_20201026T113735.SAFE,2018-08-15 11:06:51.024,137,86.442177,DESCENDING,T30UXC,T30UXC_20180815T110651,08,227,2018
8bfe9025-75c3-40da-853f-9d79549b785a,S2A_MSIL2A_20201023T111131_N0214_R137_T30UXC_20201023T140019.SAFE,2020-10-23 11:11:31.024,137,94.50257,DESCENDING,T30UXC,T30UXC_20201023T111131,10,297,2020
cff9097b-5e9c-4550-95f2-d147ac03ad0b,S2B_MSIL2A_20201021T112119_N0214_R037_T30UXC_20201021T132755.SAFE,2020-10-21 11:21:19.024,37,83.794726,DESCENDING,T30UXC,T30UXC_20201021T112119,10,295,2020
e2767f0f-68e0-486d-97dc-baf80275e8bb,S2A_MSIL2A_20201013T111021_N0214_R137_T30UXC_20201019T152308.SAFE,2020-10-13 11:10:21.024,137,81.255047,DESCENDING,T30UXC,T30UXC_20201013T111021,10,287,2020
f9ee9851-215f-4a69-ad4c-2706ea0fd318,S2B_MSIL2A_20201018T110959_N0214_R137_T30UXC_20201018T131430.SAFE,2020-10-18 11:09:59.024,137,99.94213099999999,DESCENDING,T30UXC,T30UXC_20201018T110959,10,292,2020
4bfd72d5-38b7-4ccf-b4d5-e0c0ee5e13c3,S2A_MSIL2A_20201016T112121_N0214_R037_T30UXC_20201016T140826.SAFE,2020-10-16 11:21:21.024,37,85.747572,DESCENDING,T30UXC,T30UXC_20201016T112121,10,290,2020
9a81f2d8-7f2b-4a98-aeb1-96e5a524875a,S2B_MSIL2A_20201011T112119_N0214_R037_T30UXC_20201011T132233.SAFE,2020-10-11 11:21:19.024,37,40.746499,DESCENDING,T30UXC,T30UXC_20201011T112119,10,285,2020
5487dfa0-f116-4c70-a66b-e2b22256d4b9,S2B_MSIL2A_20201008T110849_N0214_R137_T30UXC_20201008T140700.SAFE,2020-10-08 11:08:49.025,137,83.705861,DESCENDING,T30UXC,T30UXC_20201008T110849,10,282,2020
7e1b20b9-99fa-412e-a73e-d5fd3f8fc3bb,S2A_MSIL2A_20201006T112121_N0214_R037_T30UXC_20201006T141453.SAFE,2020-10-06 11:21:21.025,37,50.366588,DESCENDING,T30UXC,T30UXC_20201006T112121,10,280,2020
9ec58afd-4fef-45e5-a718-7d635e81f7b8,S2A_MSIL2A_20201003T110911_N0214_R137_T30UXC_20201003T140347.SAFE,2020-10-03 11:09:11.024,137,97.295579,DESCENDING,T30UXC,T30UXC_20201003T110911,10,277,2020
c2ec4247-2ca5-4f83-8fbc-68c396ec0cd4,S2B_MSIL2A_20201001T112119_N0214_R037_T30UXC_20201001T143738.SAFE,2020-10-01 11:21:19.024,37,37.381776,DESCENDING,T30UXC,T30UXC_20201001T112119,10,275,2020
3b2cc6fb-0b30-4042-902b-091ca1b2314a,S2B_MSIL2A_20200928T110739_N0214_R137_T30UXC_20200928T132501.SAFE,2020-09-28 11:07:39.024,137,25.008081999999998,DESCENDING,T30UXC,T30UXC_20200928T110739,09,272,2020
83864e0b-ddfc-474a-82e6-74cb20607838,S2A_MSIL2A_20200926T112121_N0214_R037_T30UXC_20200926T141726.SAFE,2020-09-26 11:21:21.024,37,49.104096,DESCENDING,T30UXC,T30UXC_20200926T112121,09,270,2020
32be96b2-9b95-4447-8aa8-4d0c979bfdb1,S2A_MSIL2A_20200923T110801_N0214_R137_T30UXC_20200923T140331.SAFE,2020-09-23 11:08:01.024,137,82.94445099999999,DESCENDING,T30UXC,T30UXC_20200923T110801,09,267,2020
adf4324f-74d0-42e8-8bab-d7873c40d6de,S2B_MSIL2A_20200921T112119_N0214_R037_T30UXC_20200921T132441.SAFE,2020-09-21 11:21:19.024,37,0.127177,DESCENDING,T30UXC,T30UXC_20200921T112119,09,265,2020
43ca94af-8193-4743-9b42-6dba912e7373,S2B_MSIL2A_20200918T110639_N0214_R137_T30UXC_20200918T133606.SAFE,2020-09-18 11:06:39.024,137,1.561024,DESCENDING,T30UXC,T30UXC_20200918T110639,09,262,2020
f503c9b3-eb98-4c47-99a3-484badae7b3b,S2A_MSIL2A_20200916T112121_N0214_R037_T30UXC_20200916T141918.SAFE,2020-09-16 11:21:21.024,37,21.709449,DESCENDING,T30UXC,T30UXC_20200916T112121,09,260,2020
043f4c44-030d-42e6-b757-44e50946f4cb,S2A_MSIL2A_20200913T110701_N0214_R137_T30UXC_20200913T140332.SAFE,2020-09-13 11:07:01.024,137,2.512093,DESCENDING,T30UXC,T30UXC_20200913T110701,09,257,2020
6f454cbd-8102-4ef4-bcee-f50d336d5553,S2B_MSIL2A_20200911T112119_N0214_R037_T30UXC_20200911T132351.SAFE,2020-09-11 11:21:19.024,37,99.94242,DESCENDING,T30UXC,T30UXC_20200911T112119,09,255,2020
7e33be57-bcb3-466f-b9e8-ddfd56974d20,S2B_MSIL2A_20200908T110619_N0214_R137_T30UXC_20200908T140348.SAFE,2020-09-08 11:06:19.025,137,50.652348999999994,DESCENDING,T30UXC,T30UXC_20200908T110619,09,252,2020
8db84a86-62e3-4197-972a-295762ccc188,S2A_MSIL2A_20200906T112121_N0214_R037_T30UXC_20200906T141119.SAFE,2020-09-06 11:21:21.024,37,71.052621,DESCENDING,T30UXC,T30UXC_20200906T112121,09,250,2020
9f220335-7882-40a3-93d9-24799660e9ce,S2A_MSIL2A_20200903T110621_N0214_R137_T30UXC_20200903T140253.SAFE,2020-09-03 11:06:21.024,137,96.229892,DESCENDING,T30UXC,T30UXC_20200903T110621,09,247,2020
9aa190f8-e643-4393-9ce3-4df09e9c90bb,S2B_MSIL2A_20200901T112119_N0214_R037_T30UXC_20200901T125818.SAFE,2020-09-01 11:21:19.025,37,63.07009,DESCENDING,T30UXC,T30UXC_20200901T112119,09,245,2020
afe82afb-c9a8-43b6-bcec-7e0d8f3de145,S2B_MSIL2A_20200829T110629_N0214_R137_T30UXC_20200829T131519.SAFE,2020-08-29 11:06:29.024,137,93.644103,DESCENDING,T30UXC,T30UXC_20200829T110629,08,242,2020
393df4b3-a25f-4fc8-a4d2-90effee1e014,S2A_MSIL2A_20200827T112121_N0214_R037_T30UXC_20200827T141333.SAFE,2020-08-27 11:21:21.024,37,99.551368,DESCENDING,T30UXC,T30UXC_20200827T112121,08,240,2020
f16db3e6-d6c3-4233-9f8b-adb004ea3b87,S2A_MSIL2A_20200824T110631_N0214_R137_T30UXC_20200824T154400.SAFE,2020-08-24 11:06:31.024,137,47.038913,DESCENDING,T30UXC,T30UXC_20200824T110631,08,237,2020
27f9e650-799f-443d-87a5-8dce5e3b1d3c,S2B_MSIL2A_20200822T112119_N0214_R037_T30UXC_20200823T151025.SAFE,2020-08-22 11:21:19.024,37,32.073,DESCENDING,T30UXC,T30UXC_20200822T112119,08,235,2020
7ee70c52-40ec-409c-8c99-b6d0c1b99c5a,S2B_MSIL2A_20200819T110629_N0214_R137_T30UXC_20200819T132326.SAFE,2020-08-19 11:06:29.025,137,89.485293,DESCENDING,T30UXC,T30UXC_20200819T110629,08,232,2020
bee25905-3d66-40e2-a248-6edd2c61a782,S2A_MSIL2A_20200817T112121_N0214_R037_T30UXC_20200817T121805.SAFE,2020-08-17 11:21:21.024,37,74.423894,DESCENDING,T30UXC,T30UXC_20200817T112121,08,230,2020
f5da7674-5ecb-45f0-ae36-1966dc8dc8b3,S2A_MSIL2A_20200814T110631_N0214_R137_T30UXC_20200814T121221.SAFE,2020-08-14 11:06:31.024,137,95.961912,DESCENDING,T30UXC,T30UXC_20200814T110631,08,227,2020
9a3e62cd-a4ce-4a68-89d3-e05be193e69f,S2B_MSIL2A_20200812T112119_N0214_R037_T30UXC_20200812T132459.SAFE,2020-08-12 11:21:19.024,37,4.36311,DESCENDING,T30UXC,T30UXC_20200812T112119,08,225,2020
3c4c9fb2-6051-475f-bbbf-472d01c254d5,S2B_MSIL2A_20200809T110629_N0214_R137_T30UXC_20200809T140506.SAFE,2020-08-09 11:06:29.024,137,6.911858,DESCENDING,T30UXC,T30UXC_20200809T110629,08,222,2020
60fafcc9-bffb-44ae-a90b-a7f3e9ebd8c0,S2A_MSIL2A_20200807T112121_N0214_R037_T30UXC_20200807T121816.SAFE,2020-08-07 11:21:21.024,37,14.864508,DESCENDING,T30UXC,T30UXC_20200807T112121,08,220,2020
a126d37e-644c-41f6-99ea-49b38740c1b0,S2A_MSIL2A_20200804T110631_N0214_R137_T30UXC_20200804T122403.SAFE,2020-08-04 11:06:31.024,137,98.62523,DESCENDING,T30UXC,T30UXC_20200804T110631,08,217,2020
8220600d-8f3d-42b7-9866-0e2e2ccc2066,S2B_MSIL2A_20200802T112119_N0214_R037_T30UXC_20200802T131456.SAFE,2020-08-02 11:21:19.024,37,41.985856,DESCENDING,T30UXC,T30UXC_20200802T112119,08,215,2020
da37dc32-b4fb-4a07-b793-31dbf611f586,S2B_MSIL2A_20200730T110619_N0214_R137_T30UXC_20200730T131922.SAFE,2020-07-30 11:06:19.024,137,26.075542,DESCENDING,T30UXC,T30UXC_20200730T110619,07,212,2020
adceebb2-2b25-4725-994c-8a63a35e6faa,S2A_MSIL2A_20200728T112121_N0214_R037_T30UXC_20200728T121745.SAFE,2020-07-28 11:21:21.024,37,68.154309,DESCENDING,T30UXC,T30UXC_20200728T112121,07,210,2020
5a4d55ef-b4e0-4dd0-922d-73dbfc37b088,S2A_MSIL2A_20200725T110631_N0214_R137_T30UXC_20200725T122905.SAFE,2020-07-25 11:06:31.024,137,98.060539,DESCENDING,T30UXC,T30UXC_20200725T110631,07,207,2020
231f18e6-6ef0-4ac8-a228-8eb8299fbf80,S2B_MSIL2A_20200723T112119_N0214_R037_T30UXC_20200723T132450.SAFE,2020-07-23 11:21:19.024,37,97.598627,DESCENDING,T30UXC,T30UXC_20200723T112119,07,205,2020
2e346856-7a91-41bd-8990-8023f99abf4f,S2B_MSIL2A_20200720T110619_N0214_R137_T30UXC_20200720T131521.SAFE,2020-07-20 11:06:19.024,137,14.874739,DESCENDING,T30UXC,T30UXC_20200720T110619,07,202,2020
